NomMunicipio,count,total_reclamacoes,media_reclamacoes,percentual
Maripá,77,82,1.0649350649350648,0.0016042047665298716
São Gonçalo do Piauí,77,87,1.12987012987013,0.0016042047665298716
CONCEIÇÃO DE MACABU,76,82,1.0789473684210527,0.0015833709383931201
MONTANHAS,76,85,1.118421052631579,0.0015833709383931201
PRESIDENTE JÂNIO QUADROS,76,83,1.0921052631578947,0.0015833709383931201
Campo Bonito,76,81,1.0657894736842106,0.0015833709383931201
JOANÓPOLIS,76,80,1.0526315789473684,0.0015833709383931201
OROCÓ,76,92,1.2105263157894737,0.0015833709383931201
Rondinha,76,84,1.105263157894737,0.0015833709383931201
CORUMBAÍBA,76,80,1.0526315789473684,0.0015833709383931201
Novo Horizonte do Norte,76,90,1.1842105263157894,0.0015833709383931201
PANTANO GRANDE,76,107,1.4078947368421053,0.0015833709383931201
Livramento,76,81,1.0657894736842106,0.0015833709383931201
JIQUIRIÇÁ,76,92,1.2105263157894737,0.0015833709383931201
Sebastião Leal,76,77,1.013157894736842,0.0015833709383931201
Comendador Levy Gasparian,76,77,1.013157894736842,0.0015833709383931201
Agricolândia,76,85,1.118421052631579,0.0015833709383931201
SÃO JOÃO BATISTA,76,76,1.0,0.0015833709383931201
SENTINELA DO SUL,76,88,1.1578947368421053,0.0015833709383931201
SOLIDÃO,76,87,1.144736842105263,0.0015833709383931201
RIO NEGRO,76,76,1.0,0.0015833709383931201
Nova Colinas,76,78,1.0263157894736843,0.0015833709383931201
CANDIBA,76,83,1.0921052631578947,0.0015833709383931201
TARUMIRIM,76,77,1.013157894736842,0.0015833709383931201
CHAVAL,76,83,1.0921052631578947,0.0015833709383931201
BATATAIS,76,78,1.0263157894736843,0.0015833709383931201
TAPIRA,76,78,1.0263157894736843,0.0015833709383931201
GUARATUBA,76,78,1.0263157894736843,0.0015833709383931201
TUPARETAMA,76,82,1.0789473684210527,0.0015833709383931201
Ibatiba,76,86,1.131578947368421,0.0015833709383931201
Ibiracatu,76,79,1.0394736842105263,0.0015833709383931201
Turilândia,76,77,1.013157894736842,0.0015833709383931201
BIRITINGA,76,79,1.0394736842105263,0.0015833709383931201
PINHEIRAL,75,97,1.2933333333333332,0.0015625371102563684
Grandes Rios,75,76,1.0133333333333334,0.0015625371102563684
São Gonçalo do Rio Preto,75,79,1.0533333333333332,0.0015625371102563684
Água Santa,75,84,1.12,0.0015625371102563684
CAMUTANGA,75,96,1.28,0.0015625371102563684
Alegria,75,79,1.0533333333333332,0.0015625371102563684
ARAGUAPAZ,75,83,1.1066666666666667,0.0015625371102563684
Ibiquera,75,78,1.04,0.0015625371102563684
Nova Guarita,75,82,1.0933333333333333,0.0015625371102563684
Couto de Magalhães de Minas,75,75,1.0,0.0015625371102563684
Conceição do Castelo,75,81,1.08,0.0015625371102563684
Palmeirópolis,75,79,1.0533333333333332,0.0015625371102563684
QUIXELÔ,75,78,1.04,0.0015625371102563684
MACHADO,75,81,1.08,0.0015625371102563684
Dom Joaquim,75,78,1.04,0.0015625371102563684
CONCEIÇÃO DO MATO DENTRO,75,80,1.0666666666666667,0.0015625371102563684
São Martinho da Serra,75,80,1.0666666666666667,0.0015625371102563684
Fortuna de Minas,75,80,1.0666666666666667,0.0015625371102563684
PORTEL,75,82,1.0933333333333333,0.0015625371102563684
Imigrante,75,83,1.1066666666666667,0.0015625371102563684
Muniz Ferreira,75,84,1.12,0.0015625371102563684
PÃO DE AÇÚCAR,75,80,1.0666666666666667,0.0015625371102563684
Araguacema,75,78,1.04,0.0015625371102563684
SÃO JOSÉ DA LAJE,75,80,1.0666666666666667,0.0015625371102563684
Gravatal,75,76,1.0133333333333334,0.0015625371102563684
Santópolis do Aguapeí,75,79,1.0533333333333332,0.0015625371102563684
Bom Jesus da Serra,75,79,1.0533333333333332,0.0015625371102563684
Malhada de Pedras,75,79,1.0533333333333332,0.0015625371102563684
IGREJA NOVA,75,81,1.08,0.0015625371102563684
PARAGUAÇU PAULISTA,75,93,1.24,0.0015625371102563684
URUÇUÍ,75,80,1.0666666666666667,0.0015625371102563684
URUOCA,75,80,1.0666666666666667,0.0015625371102563684
SÃO JOÃO DO PIAUÍ,75,79,1.0533333333333332,0.0015625371102563684
São Sebastião de Lagoa de Roça,75,81,1.08,0.0015625371102563684
Vespasiano Correa,75,81,1.08,0.0015625371102563684
ESPIGÃO D'OESTE,75,80,1.0666666666666667,0.0015625371102563684
GAROPABA,75,76,1.0133333333333334,0.0015625371102563684
CACIMBINHAS,75,88,1.1733333333333333,0.0015625371102563684
SOUSA,75,75,1.0,0.0015625371102563684
Morro da Garça,74,75,1.0135135135135136,0.0015417032821196171
ADAMANTINA,74,75,1.0135135135135136,0.0015417032821196171
Cruz Machado,74,76,1.027027027027027,0.0015417032821196171
CARLOS CHAGAS,74,82,1.1081081081081081,0.0015417032821196171
Porto Esperidião,74,83,1.1216216216216217,0.0015417032821196171
Taboleiro Grande,74,78,1.054054054054054,0.0015417032821196171
CACHOEIRA ALTA,74,84,1.135135135135135,0.0015417032821196171
Córrego Novo,74,75,1.0135135135135136,0.0015417032821196171
Jardim Alegre,74,76,1.027027027027027,0.0015417032821196171
Maria Helena,74,74,1.0,0.0015417032821196171
ÁGUAS DE SÃO PEDRO,74,76,1.027027027027027,0.0015417032821196171
PALMEIRA,74,82,1.1081081081081081,0.0015417032821196171
PARAMOTI,74,79,1.0675675675675675,0.0015417032821196171
Onda Verde,74,77,1.0405405405405406,0.0015417032821196171
CLÁUDIO,74,76,1.027027027027027,0.0015417032821196171
Torixoréu,74,85,1.1486486486486487,0.0015417032821196171
Gaúcha do Norte,74,85,1.1486486486486487,0.0015417032821196171
Riachão do Dantas,74,81,1.0945945945945945,0.0015417032821196171
Serrinha dos Pintos,74,84,1.135135135135135,0.0015417032821196171
PARANAIGUARA,74,82,1.1081081081081081,0.0015417032821196171
TUPACIGUARA,74,79,1.0675675675675675,0.0015417032821196171
IGACI,74,84,1.135135135135135,0.0015417032821196171
Córrego Danta,74,77,1.0405405405405406,0.0015417032821196171
CAJUEIRO,74,83,1.1216216216216217,0.0015417032821196171
SANTANÓPOLIS,74,80,1.0810810810810811,0.0015417032821196171
Coremas,74,79,1.0675675675675675,0.0015417032821196171
GRAMADO,74,82,1.1081081081081081,0.0015417032821196171
AGUAÍ,74,77,1.0405405405405406,0.0015417032821196171
Pau D'Arco do Piauí,74,74,1.0,0.0015417032821196171
EXTREMA,74,78,1.054054054054054,0.0015417032821196171
SERRA DO SALITRE,74,79,1.0675675675675675,0.0015417032821196171
Pau Brasil,74,74,1.0,0.0015417032821196171
TAQUARI,74,76,1.027027027027027,0.0015417032821196171
LAGO DA PEDRA,74,271,3.6621621621621623,0.0015417032821196171
MIRANDA,74,76,1.027027027027027,0.0015417032821196171
Querência do Norte,74,78,1.054054054054054,0.0015417032821196171
PEDRO VELHO,74,84,1.135135135135135,0.0015417032821196171
Senador Firmino,73,76,1.0410958904109588,0.0015208694539828654
Boa Vista do Gurupi,73,75,1.0273972602739727,0.0015208694539828654
São José da Varginha,73,73,1.0,0.0015208694539828654
CAMPO VERDE,73,77,1.0547945205479452,0.0015208694539828654
Itaiópolis,73,78,1.0684931506849316,0.0015208694539828654
Milton Brandão,73,82,1.1232876712328768,0.0015208694539828654
Mirinzal,73,73,1.0,0.0015208694539828654
ITAPEMIRIM,73,132,1.8082191780821917,0.0015208694539828654
Liberato Salzano,73,77,1.0547945205479452,0.0015208694539828654
PORANGABA,73,75,1.0273972602739727,0.0015208694539828654
Dom Pedro de Alcântara,73,82,1.1232876712328768,0.0015208694539828654
Jateí,73,84,1.1506849315068493,0.0015208694539828654
VICENTINÓPOLIS,73,76,1.0410958904109588,0.0015208694539828654
POTENGI,73,81,1.1095890410958904,0.0015208694539828654
Paulo Ramos,73,83,1.1369863013698631,0.0015208694539828654
